epoch,loss,val_loss
0,3.30389666557312,3.383683204650879
1,2.9437317848205566,3.160334587097168
2,2.781785011291504,3.0390405654907227
3,2.6754379272460938,2.9453365802764893
4,2.5991859436035156,2.8813889026641846
5,2.5443296432495117,2.845930576324463
6,2.502903938293457,2.799879550933838
7,2.4696593284606934,2.7726645469665527
8,2.441246509552002,2.760557174682617
9,2.417240858078003,2.723727226257324
10,2.3983256816864014,2.7303826808929443
11,2.380485773086548,2.7025303840637207
12,2.3656563758850098,2.6999101638793945
13,2.35180401802063,2.674548625946045
14,2.3398959636688232,2.685246229171753
15,2.324908494949341,2.6707763671875
16,2.2955055236816406,2.6613006591796875
17,2.2610092163085938,2.6201138496398926
18,2.219578266143799,2.589482069015503
19,2.149893045425415,2.5431995391845703
20,2.068199634552002,2.4972193241119385
21,1.9853222370147705,2.452420234680176
22,1.9155571460723877,2.399165391921997
23,1.8591936826705933,2.346343517303467
24,1.8111937046051025,2.2831242084503174
25,1.774499535560608,2.2808074951171875
26,1.7421882152557373,2.2601559162139893
27,1.7151494026184082,2.2403290271759033
28,1.6911089420318604,2.2390832901000977
29,1.6697748899459839,2.234611988067627
30,1.6501597166061401,2.1818668842315674
31,1.6335572004318237,2.1948366165161133
32,1.61899733543396,2.1931381225585938
33,1.6046189069747925,2.165834426879883
34,1.5924479961395264,2.1552672386169434
35,1.5793262720108032,2.1642889976501465
36,1.567405343055725,2.1557092666625977
37,1.5568927526474,2.1404011249542236
38,1.5475475788116455,2.1543757915496826
39,1.536977767944336,2.1299479007720947
